Teams,2015-2014,2014-2013,2013-2012,2012-2011, 2011-2010 ,2010-2009,2009-2008,2008-2007,2007-2006
Atlanta Hawks,58328957.00,58477559.00,66492527.00,70958314.00,70099179.00,65046378.00,68168841.00,55501133.00,48456234.00
Boston Celtics,60403234.00,70644150.00,71576087.00,72402785.00,81769284.00,83552174.00,79188973.00,74060475.00,62622805.00
Brooklyn Nets,88424372.00,102928076.00,83529674.00,47922417.00,58494181.00,59366715.00,62666523.00,61366182.00,64372808.00
Charlotte Hornets,65680052.00,62824677.00,57500127.00,65611373.00,65672517.00,68141416.00,62507774.00,52684792.00,41689161.00
Chicago Bulls,67432537.00,71073626.00,74258448.00,70787864.00,53658187.00,69219401.00,67705816.00,63084166.00,54754904.00
Cleveland Cavaliers,81377634.00,66179320.00,53964150.00,50463174.00,53928558.00,83398534.00,90833539.00,81137583.00,62992729.00
Dallas Mavericks,75014621.00,68057497.00,61941526.00,75210420.00,84643496.00,88435117.00,94830398.00,101021688.00,88531846.00
Denver Nuggets,56142354.00,65379734.00,63970222.00,57150022.00,67650513.00,74335812.00,69422003.00,82581955.00,65370484.00
Detroit Pistons,63871995.00,61897253.00,68565736.00,64056680.00,65020029.00,59223927.00,71084287.00,65898875.00,58767602.00
Golden State Warriors,72585093.00,71406068.00,69712825.00,57385359.00,68367250.00,65154331.00,67416431.00,61019997.00,64985588.00
Houston Rockets,74050249.00,63877378.00,55435438.00,49625800.00,72315654.00,69095315.00,72981100.00,69445134.00,63837566.00
Indiana Pacers,74798942.00,66639356.00,66745868.00,44413746.00,65057899.00,66673873.00,69668818.00,66175899.00,63118965.00
Los Angeles Clippers,80598406.00,74981669.00,69518889.00,69573889.00,52988221.00,60998169.00,62174296.00,64577243.00,59057690.00
Los Angeles Lakers,70374042.00,77089935.00,99847565.00,81659758.00,90432556.00,91378064.00,78245793.00,72611724.00,77099949.00
Memphis Grizzlies,74760326.00,71894257.00,63276388.00,67958273.00,70022595.00,56294399.00,55093507.00,54062867.00,61773025.00
Miami Heat,75966404.00,80645920.00,83431885.00,78613056.00,64251508.00,73631563.00,69952802.00,74640045.00,63786777.00
Milwaukee Bucks,55114481.00,54229524.00,61658839.00,66354411.00,68479340.00,66247389.00,71088614.00,62252766.00,63498518.00
Minnesota Timberwolves,67919790.00,68154796.00,62360135.00,56628453.00,53458231.00,62253360.00,65980450.00,69043895.00,66788931.00
New Orleans Pelicans,70413595.00,66438200.00,63685125.00,58480742.00,67985781.00,69721295.00,66842294.00,62346671.00,53711107.00
New York Knicks,80629628.00,88277907.00,78854599.00,61370415.00,66426486.00,85505986.00,96643646.00,96190114.00,117024192.00
Oklahoma City Thunder,78791633.00,70696313.00,68257854.00,61831253.00,55922488.00,57969029.00,68341605.00,58107045.00,61013311.00
Orlando Magic,56016975.00,53516731.00,66215396.00,69266121.00,90395938.00,81239000.00,69672979.00,74038229.00,69140163.00
Philadelphia 76ers,56923056.00,53780843.00,64367073.00,64767225.00,68417454.00,64474648.00,67242522.00,70702565.00,65399240.00
Phoenix Suns,60237268.00,53785384.00,53234902.00,64909904.00,65966400.00,64796003.00,76001311.00,73241335.00,75026386.00
Portland Trail Blazers,72994755.00,62699372.00,58379149.00,66140347.00,74445767.00,56459362.00,79887114.00,63325268.00,63975244.00
Sacramento Kings,74176743.00,62881623.00,53575342.00,35890116.00,44991883.00,67371803.00,68739818.00,69839187.00,65327646.00
San Antonio Spurs,70379233.00,63379810.00,69568331.00,73774561.00,69366122.00,79130464.00,67993153.00,60861388.00,56931964.00
Toronto Raptors,76096523.00,68635923.00,68081026.00,53148082.00,69984513.00,67819464.00,73197890.00,65593395.00,50581694.00
Utah Jazz,58905618.00,57426670.00,66913862.00,58183391.00,75188482.00,71905244.00,65841407.00,64959089.00,61930567.00
Washington Wizards,73502681.00,70301084.00,58601257.00,68146670.00,58324988.00,72791114.00,70542500.00,65241923.00,62733705.00
